Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
ScsiTarget.h                                   2                 1    50.00%           2                 1    50.00%           4                 3    25.00%           0                 0         -
Se30Video.h                                   15                15     0.00%          14                14     0.00%          55                55     0.00%           0                 0         -
SonoraCpu.cpp                                 50                14    72.00%           8                 0   100.00%          55                 1    98.18%          34                13    61.76%
SonoraCpu.h                                    3                 2    33.33%           3                 2    33.33%           6                 5    16.67%           0                 0         -
SonoraMemory.cpp                             490               109    77.76%          27                 4    85.19%         504                79    84.33%         392               131    66.58%
SonoraMemory.h                                82                49    40.24%          62                41    33.87%         141               106    24.82%          16                10    37.50%
SonoraVideo.h                                 62                35    43.55%           8                 4    50.00%          99                63    36.36%          52                35    32.69%
SonyDrive.cpp                                852               519    39.08%          60                28    53.33%         887               503    43.29%         726               478    34.16%
SonyDrive.h                                   27                17    37.04%          22                16    27.27%          37                29    21.62%           4                 2    50.00%
StartupDomainView.h                           15                15     0.00%           8                 8     0.00%          24                24     0.00%           4                 4     0.00%
StartupOptions.h                               2                 1    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
StartupSnapshot.h                             23                14    39.13%          12                 5    58.33%          44                20    54.55%          10                 8    20.00%
StartupValueDecoding.h                        55                42    23.64%           5                 1    80.00%          34                23    32.35%          34                30    11.76%
StartupValuePolicy.h                           4                 4     0.00%           4                 4     0.00%          20                20     0.00%           0                 0         -
Swim1.cpp                                    439               304    30.75%          25                 8    68.00%         544               358    34.19%         386               272    29.53%
Swim1.h                                       16                13    18.75%          10                 7    30.00%          26                23    11.54%           4                 4     0.00%
Swim2.cpp                                    308               108    64.94%          20                 1    95.00%         345                85    75.36%         268               115    57.09%
Swim2.h                                       15                 6    60.00%           9                 6    33.33%          21                13    38.10%           4                 0   100.00%
TobyVideo.cpp                                200                91    54.50%          18                 6    66.67%         249                85    65.86%         148                79    46.62%
TobyVideo.h                                   16                11    31.25%          14                11    21.43%          21                15    28.57%           2                 0   100.00%
V8Memory.cpp                                 719               222    69.12%          46                20    56.52%         658               168    74.47%         526               227    56.84%
V8Memory.h                                   124                66    46.77%          73                51    30.14%         184               135    26.63%          42                22    47.62%
